time,means,sd,se
1201,65.00436908,13.20184753,4.400615842
1203,64.93471419,13.26463855,4.421546182
1205,64.95797723,13.22771775,4.40923925
1207,64.95572833,13.22050274,4.406834247
1209,64.92334592,13.23282168,4.41094056
1211,64.95169775,13.28054236,4.426847452
1213,64.96702862,13.18938618,4.396462061
1215,65.00961825,13.13128493,4.377094978
1217,65.01997191,13.15913234,4.386377448
1219,65.02311863,13.11094442,4.370314806
1221,65.04052232,13.15855091,4.386183635
1223,65.05518027,13.16093933,4.386979775
1225,65.06481916,13.19752394,4.399174648
1227,65.06402246,13.2117673,4.403922433
1229,65.07260489,13.27954578,4.426515259
1231,65.09456914,13.2246366,4.408212199
1233,65.04537053,13.18174002,4.393913339
1235,65.1051965,13.21847477,4.406158256
1237,65.09545127,13.2486173,4.416205765
1239,65.11209139,13.27149605,4.423832018
1241,65.14428029,13.28277343,4.427591144
1243,65.20526558,13.27393721,4.424645736
1245,65.16801752,13.27532779,4.425109262
1247,65.1054859,13.36000949,4.453336496
1249,65.11123715,13.31751935,4.439173116
1251,65.1560199,13.32814375,4.442714584
1253,65.13080084,13.33811391,4.44603797
1255,65.17162273,13.32239989,4.440799962
1257,65.16250684,13.29643991,4.432146636
1259,65.2016778,13.28389187,4.427963958
1261,65.19009161,13.24409013,4.414696711
1263,65.24724156,13.25616556,4.418721855
1265,65.20808106,13.23723014,4.412410047
1267,65.16100758,13.26472737,4.421575791
1269,65.17844788,13.25705032,4.419016774
1271,65.26500787,13.26044404,4.420148015
1273,65.20520979,13.23953608,4.413178693
1275,65.27259137,13.28550739,4.428502462
1277,65.2705569,13.26078028,4.420260095
1279,65.31943822,13.25947231,4.419824105
1281,65.37824086,13.25274695,4.417582316
1283,65.38188791,13.22131014,4.407103379
1285,65.30478376,13.29444314,4.431481047
1287,65.17782028,13.33415733,4.444719109
1289,65.20865288,13.29013085,4.430043617
1291,65.23576694,13.29292684,4.430975615
1293,65.22393842,13.35104586,4.450348621
1295,65.25115709,13.32648278,4.442160926
1297,65.26797154,13.32601251,4.442004168
1299,65.3329508,13.34997554,4.449991846
1301,65.32015125,13.28047192,4.426823975
1303,65.34464857,13.31266333,4.437554442
1305,65.32957048,13.32490201,4.441634002
1307,65.36575685,13.31959124,4.439863747
1309,65.37295681,13.33209746,4.444032486
1311,65.27478448,13.3467786,4.448926201
1313,65.28812447,13.34309399,4.447697996
1315,65.33292988,13.32659316,4.442197721
1317,65.36102718,13.34137757,4.447125855
1319,65.36204703,13.3264315,4.442143833
1321,65.37240592,13.33396718,4.444655725
1323,65.35213444,13.38258189,4.46086063
1325,65.34141817,13.35519376,4.451731255
1327,65.31345685,13.30387131,4.43462377
1329,65.29229452,13.24892097,4.416306991
1331,65.34754599,13.30997076,4.436656921
1333,65.34586541,13.32208026,4.44069342
1335,65.33481617,13.29194389,4.430647963
1337,65.36519026,13.28365098,4.427883659
1339,65.33449365,13.32490618,4.441635392
1341,65.35206819,13.31578318,4.438594393
1343,65.34409942,13.32352881,4.441176271
1345,65.38499802,13.32025054,4.440083514
1347,65.40883113,13.35232534,4.450775115
1349,65.45433736,13.30459021,4.434863403
1351,65.47581697,13.25935439,4.419784797
1353,65.40904556,13.27053256,4.423510853
1355,65.43781404,13.21073737,4.403579122
1357,65.45203441,13.27715243,4.425717477
1359,65.38581215,13.30347553,4.434491845
1361,65.38360858,13.31202525,4.437341752
1363,65.42967442,13.27426603,4.424755343
1365,65.3986919,13.29862784,4.432875948
1367,65.38304723,13.2999071,4.433302367
1369,65.36814696,13.26730542,4.422435139
1371,65.35453501,13.25071979,4.416906596
1373,65.36346785,13.22502694,4.408342312
